Entity,Wallet,Label,,,,,,,,,,
Peatio,0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,Exchange,,,,,,,,,,
Three Arrows Capital,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3,VC,,,,,,,,,,
Three Arrows Capital 2,0x085af684acdb1220d111fee971b733c5e5ae6ccd,VC,,,,,,,,,,
Three Arrows Capital 3,0x5cfd0cddf989959a6a6c3ad985ce324460d46dfd,VC,,,,,,,,,,
alameda,0xfa453aec042a837e4aebbadab9d4e25b15fad69d,Market Maker,,,,,,,,,,
alameda 2,0x477573f212a7bdd5f7c12889bd1ad0aa44fb82aa,Market Maker,,,,,,,,,,
alameda 3,0xc03613cbe9d34ab0e4ef4c510205f0846c24b8eb,Market Maker,,,,,,,,,,
alameda 4,0x9695cfaa368718dd6790a6f57b633d83f565893e,Market Maker,,,,,,,,,,
alameda 5,0x61097c84bc54aed8f07cf3e903faf8a7c64c9859,Market Maker,,,,,,,,,,
alameda 6,0x73c0ae50756c7921d1f32ada71b8e50c5de7ff9c,Market Maker,,,,,,,,,,
alameda 7,0x4b3eea6522d87324b68e4fcff6762ca98de71eb5,Market Maker,,,,,,,,,,
alameda 8,0x97137466bc8018531795217f0ecc4ba24dcba5c1,Market Maker,,,,,,,,,,
alameda 9,0x94e509b0f855297c0b99ab61bff027e0ad114121,Market Maker,,,,,,,,,,
